artifact_group	relative_path	reference_sha256	reproduced_sha256	byte_equal	semantic_status	notes
scientific_or_presentation_output	manuscript_molecular_diversity_v4_20260729/tables/Table_1_temporal_repair_flow.tsv	27b54c02b4282b0270a082146564f82f26d711bc9a8b6460a531646941dc9bb8	27b54c02b4282b0270a082146564f82f26d711bc9a8b6460a531646941dc9bb8	true	BYTE_IDENTICAL	Exact SHA-256 match.
scientific_or_presentation_output	manuscript_molecular_diversity_v4_20260729/tables/Table_2_historical_before_after_audit.tsv	2fe8b9dc899e41626290e4b6ff7c62481b87249035b70ad868101f673ea4cc23	2fe8b9dc899e41626290e4b6ff7c62481b87249035b70ad868101f673ea4cc23	true	BYTE_IDENTICAL	Exact SHA-256 match.
scientific_or_presentation_output	manuscript_molecular_diversity_v4_20260729/tables/Table_3_corrected_aggregate_performance.tsv	166da0da4be28bcfe67f6e6a79c40e6842ecbba88bcb9ca396c1372be00dda3f	166da0da4be28bcfe67f6e6a79c40e6842ecbba88bcb9ca396c1372be00dda3f	true	BYTE_IDENTICAL	Exact SHA-256 match.
scientific_or_presentation_output	manuscript_molecular_diversity_v4_20260729/tables/Table_4_corrected_bootstrap_summaries.tsv	5376bc7c8509ddc49beb7bd3473b66bc0001a228e516ccdd88f1300d93a83aa9	5376bc7c8509ddc49beb7bd3473b66bc0001a228e516ccdd88f1300d93a83aa9	true	BYTE_IDENTICAL	Exact SHA-256 match.
scientific_or_presentation_output	manuscript_molecular_diversity_v4_20260729/tables/Table_5_score_degeneracy_and_ties.tsv	165116b94cd2135a97718ae1dc4001fef98c3ac58239945de5e2c94dfa83d883	165116b94cd2135a97718ae1dc4001fef98c3ac58239945de5e2c94dfa83d883	true	BYTE_IDENTICAL	Exact SHA-256 match.
scientific_or_presentation_output	manuscript_molecular_diversity_v4_20260729/tables/Table_6_claim_evidence_use_boundaries.tsv	185b1c9954b0f9c80451cf3206ba9120ff61e1eb82c37584c76980985a2d4281	185b1c9954b0f9c80451cf3206ba9120ff61e1eb82c37584c76980985a2d4281	true	BYTE_IDENTICAL	Exact SHA-256 match.
scientific_or_presentation_output	manuscript_molecular_diversity_v4_20260729/tables/Table_S10_unresolved_entity_bounds.tsv	937afb97d5c7f3ca5336bf568cbe2e8196f410386244eee5f9964a2d2ce69581	937afb97d5c7f3ca5336bf568cbe2e8196f410386244eee5f9964a2d2ce69581	true	BYTE_IDENTICAL	Exact SHA-256 match.
scientific_or_presentation_output	manuscript_molecular_diversity_v4_20260729/tables/Table_S11_maximum_similarity_distributions.tsv	3ea10329f7a15b255688f1f997096d0239035d497161aeeb97bf08b13f0e1b5c	3ea10329f7a15b255688f1f997096d0239035d497161aeeb97bf08b13f0e1b5c	true	BYTE_IDENTICAL	Exact SHA-256 match.
scientific_or_presentation_output	manuscript_molecular_diversity_v4_20260729/tables/Table_S12_rights_and_controlled_access.tsv	af98c392811315db5dcff4bd65b03287604deca5694d6caa9c2be02f4006f2d6	af98c392811315db5dcff4bd65b03287604deca5694d6caa9c2be02f4006f2d6	true	BYTE_IDENTICAL	Exact SHA-256 match.
scientific_or_presentation_output	manuscript_molecular_diversity_v4_20260729/tables/Table_S1_scope_mask_integrity.tsv	7b2af7ab6ba6012394630c478b3a69f1db837bc0523a698f2a9ead57ce3c2b91	7b2af7ab6ba6012394630c478b3a69f1db837bc0523a698f2a9ead57ce3c2b91	true	BYTE_IDENTICAL	Exact SHA-256 match.
